epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,327.292,1.47853,2.00538,0.96934,0.02078,1.18261,0.77704,0.66379,0.71206,0.4608,0.7064,0.60345,0.61229,0.30056,1.475,2.40982,1.05577,0.02653,0,0.0005942,0.0005942,0.0005942
73,331.641,1.51678,2.07294,1.00427,0.02168,1.26489,0.78013,0.58621,0.67583,0.40803,0.70877,0.52586,0.59116,0.28499,1.568,2.16613,1.13736,0.02825,0,0.0005744,0.0005744,0.0005744
74,336.054,1.41108,1.97699,0.92675,0.02006,1.19208,0.78811,0.67334,0.72586,0.43262,0.6968,0.61417,0.59499,0.28771,1.55654,2.23553,1.01909,0.02784,0,0.0005546,0.0005546,0.0005546
75,340.396,1.44565,1.94406,0.93305,0.02047,1.19639,0.79864,0.64655,0.72364,0.4621,0.73593,0.60345,0.64824,0.31406,1.41743,2.10874,1.03738,0.02457,0,0.0005348,0.0005348,0.0005348
76,344.866,1.4682,1.94732,0.94994,0.02111,1.13789,0.74429,0.64655,0.67331,0.40054,0.6649,0.57759,0.5578,0.25686,1.5306,2.10701,1.12856,0.02697,0,0.000515,0.000515,0.000515
77,349.299,1.459,1.90861,0.89883,0.02081,1.1936,0.70876,0.54547,0.62929,0.36333,0.68202,0.51724,0.55604,0.24719,1.56592,2.184,1.26208,0.02773,0,0.0004952,0.0004952,0.0004952
78,353.647,1.44044,1.95495,0.95231,0.02052,1.21892,0.72287,0.64655,0.65206,0.38908,0.64577,0.57759,0.53585,0.26634,1.40855,2.23582,1.29951,0.02466,0,0.0004754,0.0004754,0.0004754
79,358.05,1.45353,1.98931,0.91098,0.0204,1.12731,0.74944,0.61885,0.69441,0.45425,0.60032,0.62931,0.57702,0.26576,1.37035,2.14258,0.99957,0.02316,0,0.0004556,0.0004556,0.0004556
80,362.337,1.42091,1.99248,0.93164,0.02018,1.13972,0.71454,0.67241,0.6957,0.46692,0.71346,0.56897,0.5916,0.29066,1.44732,2.13538,1.04359,0.02525,0,0.0004358,0.0004358,0.0004358
81,366.712,1.44527,2.02159,0.92538,0.02055,1.15315,0.78879,0.63793,0.70905,0.45901,0.74932,0.5927,0.61362,0.30223,1.44264,2.18427,1.07023,0.02521,0,0.000416,0.000416,0.000416
82,371.106,1.44547,1.9677,0.88857,0.02064,1.1661,0.80575,0.57759,0.69498,0.432,0.73462,0.52586,0.59445,0.28411,1.42225,2.22273,1.13033,0.02416,0,0.0003962,0.0003962,0.0003962
83,375.48,1.39869,1.87764,0.84876,0.01964,1.09729,0.74233,0.64574,0.69787,0.43239,0.6868,0.56897,0.60844,0.27017,1.49027,2.1866,1.12548,0.0268,0,0.0003764,0.0003764,0.0003764
84,379.899,1.40608,1.90377,0.88586,0.01981,1.19897,0.67966,0.64655,0.66846,0.39759,0.62529,0.59483,0.56412,0.24475,1.58034,2.17909,1.15676,0.02804,0,0.0003566,0.0003566,0.0003566
85,384.286,1.38625,1.90018,0.84711,0.01984,1.13036,0.75982,0.57273,0.65085,0.37855,0.73157,0.51688,0.54664,0.23903,1.57228,2.37716,1.35481,0.02775,0,0.0003368,0.0003368,0.0003368
86,388.735,1.35365,1.85442,0.84981,0.01851,1.07233,0.74644,0.64655,0.68901,0.41576,0.66273,0.56897,0.54774,0.26529,1.54506,2.21921,1.21872,0.0273,0,0.000317,0.000317,0.000317
87,393.182,1.38676,1.88641,0.83637,0.01935,1.11779,0.74607,0.63323,0.68062,0.42883,0.61767,0.58621,0.5725,0.27099,1.4569,2.16193,1.28444,0.02568,0,0.0002972,0.0002972,0.0002972
88,397.541,1.39404,1.85384,0.85828,0.02007,1.10724,0.73647,0.6505,0.68027,0.42627,0.66815,0.59015,0.57161,0.28375,1.46749,2.16072,1.23189,0.02522,0,0.0002774,0.0002774,0.0002774
89,402.028,1.37533,1.95584,0.87089,0.0189,1.07773,0.60185,0.65157,0.65305,0.41866,0.55106,0.60345,0.54397,0.25305,1.46942,2.19156,1.21273,0.02537,0,0.0002576,0.0002576,0.0002576
90,406.368,1.3792,1.90044,0.86942,0.01912,1.11282,0.63353,0.67063,0.6771,0.43276,0.67659,0.5431,0.57825,0.27231,1.41436,2.24365,1.27211,0.02411,0,0.0002378,0.0002378,0.0002378
91,411.164,1.22937,1.8838,0.81597,0.02316,0.99449,0.62804,0.67241,0.66395,0.41551,0.62858,0.55441,0.5562,0.2872,1.51631,2.31586,1.30076,0.02712,0,0.000218,0.000218,0.000218
92,415.578,1.21642,1.83689,0.81563,0.02379,0.97671,0.65977,0.65197,0.66082,0.40224,0.5987,0.59163,0.55654,0.2612,1.46998,2.46011,1.32871,0.0254,0,0.0001982,0.0001982,0.0001982
93,419.913,1.24152,1.85063,0.78539,0.02311,0.9181,0.77402,0.62931,0.69554,0.42521,0.70914,0.56897,0.58573,0.26898,1.5073,2.40285,1.33203,0.02644,0,0.0001784,0.0001784,0.0001784
94,424.598,1.17915,1.78037,0.78876,0.0227,0.95316,0.71933,0.62931,0.6826,0.42358,0.71276,0.55172,0.56232,0.26584,1.44823,2.33886,1.37123,0.02565,0,0.0001586,0.0001586,0.0001586
95,429.18,1.19913,1.81554,0.77062,0.02286,0.90158,0.79528,0.6028,0.68038,0.43438,0.72489,0.52246,0.56892,0.26806,1.53567,2.38664,1.24611,0.02829,0,0.0001388,0.0001388,0.0001388
96,433.802,1.18008,1.77291,0.7251,0.02172,0.86978,0.77509,0.59483,0.69026,0.43562,0.77058,0.5,0.57926,0.26716,1.4342,2.29097,1.3537,0.02538,0,0.000119,0.000119,0.000119
97,438.574,1.18262,1.77022,0.7983,0.02274,0.92681,0.75651,0.64655,0.70117,0.44592,0.72276,0.58621,0.59789,0.26953,1.51307,2.30643,1.2449,0.02807,0,9.92e-05,9.92e-05,9.92e-05
98,443.369,1.15562,1.7839,0.72612,0.02149,0.90135,0.71906,0.63793,0.69213,0.43827,0.6637,0.56034,0.58883,0.26918,1.57228,2.35379,1.26574,0.02962,0,7.94e-05,7.94e-05,7.94e-05
99,447.991,1.16467,1.78348,0.7412,0.02155,0.90463,0.73108,0.65517,0.69461,0.43683,0.66874,0.59483,0.58404,0.25284,1.54034,2.31389,1.2721,0.02878,0,5.96e-05,5.96e-05,5.96e-05
100,452.731,1.17222,1.86657,0.76008,0.02255,0.95073,0.72449,0.65517,0.69395,0.44107,0.65351,0.58621,0.58341,0.26479,1.54325,2.30478,1.23964,0.0287,0,3.98e-05,3.98e-05,3.98e-05
